Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,discrete
meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
"@ashoswai Always say, what Indian media has to do rather just tweeting what you believe as problem.",2020-10-23 23:29:31,en,,0.0,0.0,@ashoswai,Ananth,trying to as practical as possible and be human,795.0,1239.0,781.0,70.0,29.0,False,,,@MSarmTech
@MichaelKugelman What a shameful propaganda by Indian media Shame on them.,2020-10-23 23:29:08,en,US,0.0,0.0,@MichaelKugelman,Anwar Motan,Healthcare IT Professional. Love Consulting in IT Healthcare. Support PTI and Democrats at home in USA. Love my children and grandchildren.,18411.0,31051.0,65.0,245.0,1.0,False,,,@anwarmotan
"@JanJananayagam @the_hindu @MarioArul Not sure why people look at popularity as credibiliity. 

It's believed that this is the foremost Indian media empire standing with SL agents in supporting oppression of Eelam Tamils for self-determination/independence.",2020-10-23 23:20:40,en,,0.0,0.0,@JanJananayagam,Gaian,Moustache in Sand,90427.0,10766.0,229.0,170.0,17.0,False,,,@kayan2727
"China tries to dictate terms to Indian media again, protests WION’s interview with Taiwan FM

https://t.co/0m5ncMFe5w",2020-10-23 23:00:00,en,,13.0,1.0,,DNA,"Follow us for news, photos, videos and the latest trends from India and around the world. http://t.co/IZXefx3rSt",592940.0,89.0,380.0,2199602.0,3418.0,True,,,@dna
@sameollll_damon They are bit just only trying to do that. But also wanna take advantage in the sense that whatever that's been said via the Indian media they will try to take it up....,2020-10-23 22:42:47,en,,1.0,0.0,@sameollll_damon,Mary Thompson,"baker👩‍🍳
talkative 😃😃
fun loving",66.0,221.0,167.0,35.0,0.0,False,,,@marrythompson87
He is totally right though. The Indian Media does show terrorists as good people (Modi/Shah). They do show fake news. https://t.co/tMtAACFVZ6,2020-10-23 22:41:17,en,,3.0,0.0,,Sam,Traveler.  YYZ. SRK enthusiast ❤️. Self-proclaimed Macaron connoisseur.,9745.0,41765.0,522.0,615.0,0.0,False,,,@S_ammerz
@satyarthbhatt1 @FATFNews It shows how narrow ur research is or how influenced ur oppinion is or how ignorant ur views are just like indian media,2020-10-23 22:25:12,en,,0.0,0.0,@satyarthbhatt1,Haroon Khan,,338.0,102.0,50.0,7.0,0.0,False,,,@HaroonK05074104
@_Emma_r3d @yasiralii786 @FATFNews It shows how narrow ur research is or how influenced ur oppinion is or how ignorant ur views are just like indian media,2020-10-23 22:24:20,en,,0.0,0.0,@_Emma_r3d,Haroon Khan,,338.0,102.0,50.0,7.0,0.0,False,,,@HaroonK05074104
"@htTweets Look at this jerk, his country has yet again failed FTAF. Not sure why we giving him space on Indian media",2020-10-23 22:19:21,en,,0.0,0.0,@htTweets,Scorpio,,1169.0,6125.0,238.0,9.0,0.0,False,,,@byecovidbye
@JhaSanjay Trump is speaking the truth. Indian media and politicians must develop spine to question govt of India instead of get upset with Trump,2020-10-23 22:14:06,en,,0.0,0.0,@JhaSanjay,Sury Vedula,Process Analyzer Specialist located at Calgary Canada. If you abuse you will be blocked. All tweets are personal. Retweets not necessarily endorsements.,19097.0,9219.0,1506.0,365.0,2.0,False,,,@Sundance128
"That's how you fry Indian Media! Well done Moeed Yusuf @YusufMoeed

https://t.co/SbmujJRQdu",2020-10-23 22:09:54,en,,0.0,0.0,,Shahzad Tariq 🇵🇰,Proud Pakistani!,1175.0,371.0,229.0,269.0,1.0,False,,,@shazyx
"@Republic_Bharat Shame on the whole Indian Media network, no one is there to raise their voice against journalism. This is supposed to be the fourth pillar of Indian system but Administration has crossed all its boundaries. Time for other two pillars to react and do their part of keeping check",2020-10-23 21:48:18,en,,2.0,0.0,@Republic_Bharat,bhaarat,,304.0,225.0,16.0,2.0,0.0,False,,,@bhaarat52379894
"@VinodDX9 Soon to be deployed around Pangong Tso, to hunt down PLA Navy Aircraft carriers : Indian media.",2020-10-23 21:39:00,en,,0.0,0.0,@VinodDX9,Fast&Curious,Admirer of Supreme Commander Netaji Subhash Chandra Bose 🇮🇳 Mammoth Respect for our Jawans 🇮🇳,3622.0,14577.0,163.0,56.0,0.0,False,,,@TheeEndIsNeigh
@Atul_Mali19 see not indian media,2020-10-23 21:22:33,en,,0.0,0.0,@Atul_Mali19,H@ks,,2795.0,2668.0,1486.0,917.0,4.0,False,,,@haks_08
Face of Indian Media https://t.co/64YKgogja5,2020-10-23 21:13:53,en,,0.0,0.0,,Imran Fazal,"A patriot, a well wisher and a learner. open for positive and negative criticism.",11569.0,11037.0,2179.0,551.0,2.0,False,,,@ImranFazal74
Never in the world would I imagine bts doing an interview with an Indian news channel 👁👄👁,2020-10-23 21:03:07,en,,1.0,0.0,,Âsh⁷ ⟭⟬,"#BTS: No darkness, no season can last forever",29589.0,164100.0,544.0,455.0,3.0,False,,,@epifunny2u
"@ShefVaidya @republic @ShefVaidya  did @republic show news on unemployment,economic crisis,rising corona cases,exams during corona,farm bills? 
These are vultures of Indian news channel.
What if BJP runs Maharashtra govt?
Have some shame the country is going in worse situation and you are creating rot",2020-10-23 20:59:47,en,,0.0,1.0,@ShefVaidya,Amar,You know who i am...,133.0,68.0,108.0,1.0,0.0,False,,,@Amar34305460
Falsehood exposed.  https://t.co/kqFJpihyM1,2020-10-23 20:48:42,en,,70.0,14.0,,Masood Khan,President Azad Jammu and Kashmir,15573.0,251.0,1306.0,32908.0,80.0,True,,,@Masood__Khan
@arabnews The Indian people and the Indian media are cunning people,2020-10-23 20:48:31,en,,2.0,0.0,@arabnews,Zakir Khan,"‏‏🇵🇰💖🇩🇪 
((‏‏لَّا إِلَهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ  ))⠀ ⠀ ⠀",783.0,1637.0,2177.0,324.0,0.0,False,,,@zakir8020
"@arpitahindu #ArnabGoswami is mentally sick
""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 😂😂
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia",2020-10-23 20:40:09,en,,0.0,0.0,@arpitahindu,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
"@vivekanandg @republic @mumbaipressclub @singhvarun @ektaspace @bhandari_sakshi @Mamta_Chaube @sangieetasingh @Nisha_Young2809 @SureshNakhua @PraveenaP96 @AmiedocDr ""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 😂😂
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia 
#ArnabGoswami is mentally sick",2020-10-23 20:39:28,en,,0.0,0.0,@vivekanandg,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
"@iamrupamm @htTweets I love, how desperate you &amp; the whole indian media is 😂 few things will not go the way you wanted them to be. So calm down and take a fantastic tea 🤭",2020-10-23 20:39:04,en,,6.0,0.0,@iamrupamm,Bilal Ahmed,,333.0,217.0,6.0,7.0,0.0,False,,,@BilalAh28805230
"@ishkarnBHANDARI ""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 😂😂
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia 
#5thGenerationWar",2020-10-23 20:37:36,en,,0.0,0.0,@ishkarnBHANDARI,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
"Story that Indian media should remember. 

@republic @Republic_Bharat  @TimesNow @DDNewslive @ZeeNews @smitaprakash @nshuklain @AshokShrivasta6 @Thakur312Manish https://t.co/rrqgiYLYRY",2020-10-23 20:33:04,en,,0.0,0.0,,#Bot,Bot with feeling for SSR,5239.0,4053.0,171.0,1632.0,0.0,False,,,@terikehkelenge
"@marvisirmed @ZafarHilaly Good news for you 👏👏😜
👇👇👇
Indian media 🐕
👇👇👇 https://t.co/j7IG4hHz87",2020-10-23 20:31:00,en,,1.0,0.0,@marvisirmed,Ch.Asif Hayat,"A Civil Engineer /
Patriotic Pakistani

https://t.co/SG1gVcBHFs
https://t.co/Nnbc70mSIB",30669.0,42802.0,3271.0,3643.0,1.0,False,,,@ChAsif09
"@gonubaliyan @realDonaldTrump ""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 😂😂
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia",2020-10-23 20:28:46,en,,1.0,0.0,@gonubaliyan,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
"@RiaRevealed @realDonaldTrump @PMOIndia ""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 😂😂
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia 
#5thGenerationWar",2020-10-23 20:26:10,en,,1.0,0.0,@RiaRevealed,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
"@RramachandranR @realDonaldTrump @narendramodi @JoeBiden @KamalaHarris ""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 😂😂
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia 
#5thGenerationWar",2020-10-23 20:25:07,en,,1.0,0.0,@RramachandranR,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
"@debasis33091320 @JoeBiden ""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 😂😂
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia 
#5thGenerationWar",2020-10-23 20:24:24,en,,1.0,0.0,@debasis33091320,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
"@TheDeshBhakt ""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia 
#5thGenerationWar",2020-10-23 20:24:02,en,,1.0,0.0,@TheDeshBhakt,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
@palkisu @WIONews It's a badge of honour for you. Proud of you wion 🙏. Hope other indian media follow your footstep.,2020-10-23 20:21:13,en,,0.0,0.0,@palkisu,samir sadangi,,13941.0,24331.0,1975.0,647.0,2.0,False,,,@samir_sadangi
@palkisu @WIONews @ChinaSpox_India @MOFA_Taiwan @China_Amb_India Must be asked to leave india for threatening indian media. Who gave him such rights?  He supposed to be a messenger between two countries but he is crossing his limits. @MEAIndia Must issue him warning notice.,2020-10-23 20:20:59,en,,2.0,1.0,@palkisu,Rohit katkar,,197.0,677.0,85.0,31.0,0.0,False,,,@Rohitkatkar4
"They all can provoke him but can’t stand by him once found innocent 
Shame on Indian media https://t.co/TQYYnwuZrp",2020-10-23 20:18:24,en,,1.0,0.0,,sujal,welcome to planet EARTH,3629.0,1063.0,122.0,21.0,0.0,False,,,@sujal42766318
"@narendramodi ""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia 
#5thGenerationWar",2020-10-23 20:18:07,en,,1.0,0.0,@narendramodi,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
"@airnewsalerts ""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia 
#5thGenerationWar",2020-10-23 20:17:25,en,,0.0,0.0,@airnewsalerts,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
"@PTI_News ""Look at india... it's filthy. The air is filthy."" - Trump, Modi's friend. #FilthyIndia 
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia 
#5thGenerationWar",2020-10-23 20:16:40,en,,0.0,0.0,@PTI_News,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
@sardesairajdeep @msdhoni Sir you will also be remembered for all dallagiri you have done for indian media,2020-10-23 20:11:45,en,,0.0,0.0,@sardesairajdeep,S,"Dharma first, Everything else later",15996.0,23067.0,806.0,195.0,0.0,False,,,@_antiquity
"Dear, @ArnabGoswamiRTV second #PresidentialDebate2020 streaming , please go and check so you can learn how to do debate. Because the debate we have seen #RepublicTV is like piece of sh*t!! Try change face of Indian media. Not like bleeding everyone ears.. no yelling please LOL!!",2020-10-23 20:09:23,en,US,1.0,1.0,,Gulmohar Chayande,"Believe in, happiness is real when you share || Software Engineer👨🏻‍💻 || PhD in Computer Science 👨🏻‍🎓|| Traveller ||",134.0,487.0,206.0,45.0,0.0,False,,,@GulmoharC
"@majorgauravarya @atahasnain53 @republic The Indian media continued to fool its people and all continued to be fooled.
Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia 
#5thGenerationWar",2020-10-23 20:09:21,en,,0.0,0.0,@majorgauravarya,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
"Trump called India Filthy...Bolly to {Ganday}😹😹
Now Indian Media is not showing that,
Trump knew this long ago but he was enjoying the filth of India to experience how filthy Indian are.😂
#FilthyIndia",2020-10-23 20:06:22,en,,0.0,0.0,,Usman Mughal (Ibn-e-Kashmir),"‏‏‏‏‏‏‏‏اسلام میرا مذہب،کشمیر میری مٹی،پاکستان میری جان،
Journalist

Janbaz ‎@sareaam_rwp
Social Media Coordinator'‎#TeamSareAamRwpSouth
{Social Media activist}",6467.0,15667.0,652.0,385.0,1.0,False,,,@SahiLMi10132964
"engal PM great .
engal HM great
we are happy 
one request sir south Indian media
romba mosam B J P seira nalla help
solluvathillai.
sir konjam action edunga pl.",2020-10-23 20:04:13,en,,0.0,0.0,,D saravanan,self emp and married have two kids.,3.0,5.0,5.0,1.0,0.0,False,,,@Dsarava18240609
"Gret reply by wion team to CCP, specifically @palkisu mam you nailed it.. World is one.. 👍👍
Now so called CCP deployments will not dare to ask what to report to Indian media..@globaltimesnews @China_Amb_India
https://t.co/GMTJ1RCIF2",2020-10-23 20:03:55,en,,0.0,0.0,,Kharabe Nitin,,67.0,199.0,256.0,22.0,0.0,False,,,@nitin_kharabe
"@majorgauravarya Indian Media #MotherOfLies
 Source of #FakeNews #FakeNewsMedia .....",2020-10-23 20:03:16,en,,0.0,0.0,@majorgauravarya,Patriotic Khan,"Alhamdolilah Muslim, , Student of Political Sciences",2444.0,3628.0,405.0,198.0,3.0,False,,,@opal21
I'm reading reports of unrest in Nigeria. Is this real or is it an Indian media report? https://t.co/1iqqkffoIO,2020-10-23 19:56:56,en,CA,0.0,0.0,,amer husain,"Interests: Theoretical physics, philosophy, poetry, Sufism , in search of lost humanity. Runner.",43486.0,507.0,2599.0,1775.0,59.0,False,,,@timeofaquarius
"@LiveLawIndia @aajtak Just asking apology will b the least punishment. Boldo sorry. Im so sorry the fate of Indian media 4th pillar.
#unfollowgodimedia https://t.co/9Tmb82JYMR",2020-10-23 19:56:52,en,,3.0,1.0,@LiveLawIndia,Nabin Aqhizza,"Tamilan da.
Aim to see @INC as next Goverment.
#hamararahul #pyaararahul.
loyal devotee of congress.
@UWCForYouth
Proud Pharmacist.",6764.0,3485.0,1604.0,970.0,4.0,False,,,@AqhizzaNabin
